address,floor,area,rent,price,date,kr_sqm,change,sqm,rooms
Ringvägen 106,1.0,"Sofia,",1948.0,5400000.0,2020-03-20,84375.0,14.0,64.0,2.0
Bergsunds Strand 38,3.0,"Högalid,",2271.0,3600000.0,2020-03-20,75000.0,9.0,48.0,2.0
Heimdalsgatan 3,4.0,"Vasastan - Odenplan,",4561.0,11500000.0,2020-03-20,111650.0,15.0,103.0,5.0
Tegnérgatan 55A,6.0,"Vasastan,",2089.0,4120000.0,2020-03-20,137333.0,33.0,30.0,2.0
Fridhemsgatan 33,1.0,"Kungsholmen,",3521.0,6300000.0,2020-03-20,92647.0,11.0,68.0,3.0
Gästrikegatan 18A,3.0,"Vasastan,",1939.0,5500000.0,2020-03-20,105769.0,22.0,52.0,2.0
Hjalmar Söderbergs väg 8,2.0,"Kungsholmen / Kristineberg,",2996.0,3650000.0,2020-03-20,76042.0,3.0,48.0,2.0
Flottbrovägen 15,2.0,"Kungsholmen - Stora Essingen,",2198.0,2800000.0,2020-03-20,73684.0,8.0,38.0,2.0
Blanchegatan 4,2.0,"Östermalm - Tessinparken,",3099.0,4750000.0,2020-03-20,84821.0,3.0,56.0,2.0
Kvarngatan 5,1.0,"Södermalm,",1948.0,2950000.0,2020-03-20,113462.0,15.0,26.0,1.0
Heleneborgsgatan 25A,4.0,"Södermalm- Hornstull,",2159.0,3900000.0,2020-03-20,114706.0,30.0,34.0,2.0
Alströmergatan 32B,4.0,"Kungsholmen,",2222.0,4500000.0,2020-03-20,91837.0,16.0,49.0,2.0
Västmannagatan 101,4.0,"Vasastan - Odenplan,",4251.0,7800000.0,2020-03-19,92857.0,12.0,84.0,3.0
Bergsgatan 49,2.0,"Kungsholmen/Kungsholmstorg,",1265.0,2800000.0,2020-03-19,100000.0,14.0,28.0,1.0
Roslagsgatan 17,5.0,"Vasastan,",2019.0,12600000.0,2020-03-19,116667.0,16.0,108.0,4.0
Hagagatan 48,2.0,,4130.0,9700000.0,2020-03-19,100000.0,16.0,97.0,4.0
Bysistorget 4,4.0,"Södermalm,",838.0,3030000.0,2020-03-19,101000.0,14.0,30.0,1.0
Tvätterskevägen 6,1.0,"Kungsholmen - Stora Essingen,",2789.0,3275000.0,2020-03-19,69681.0,1.0,47.0,3.0
Gaveliusgatan 8,2.0,"Södermalm,",1948.0,4400000.0,2020-03-19,91667.0,13.0,48.0,2.0
Scheelegatan 38 B,8.0,"Kungsholmen,",3756.0,6250000.0,2020-03-19,76220.0,6.0,82.0,3.0
Möregatan 6,2.0,"Katarina,",3455.0,5150000.0,2020-03-19,88793.0,21.0,58.0,2.0
Hagagatan 50,5.0,"Vasastan,",5265.0,8360000.0,2020-03-19,98353.0,2.0,85.0,3.0
Essingetorget 39,1.0,"Kungsholmen - Stora Essingen,",2670.0,3700000.0,2020-03-19,71154.0,9.0,52.0,2.0
Kungsklippan 11,4.0,"Kungsholmen Rådhuset,",1731.0,2500000.0,2020-03-19,104167.0,25.0,24.0,1.0
Dalagatan 86 B,2.0,"Vasastan,",2074.0,3515000.0,2020-03-19,103382.0,17.0,34.0,2.0
Celsiusgatan 4,3.0,"Kungsholmen,",2291.0,3500000.0,2020-03-19,87500.0,8.0,40.0,2.0
