,street,floor,price,area,rooms,rent,kr_sqm,lat,lon
0,Minnebergsvägen 12,-1,2995000.0,52.5,2.0,2599.0,57048.0,59.33627635,17.98727700484375
1,Bränningevägen 36,2,2495000.0,56.0,2.0,4186.0,44554.0,59.3001956,18.0451915
2,Helsingforsgatan 21,-1,1695000.0,51.0,2.0,3168.0,33235.0,59.41151185,17.920444519296467
3,Sotingeplan 14,-1,-100.0,83.5,3.0,4667.0,-100.0,59.3916572,17.9052282
4,Åsögatan 167 A,-1,4990000.0,61.0,2.0,3234.0,81803.0,59.3128964,18.0739516
5,Folkungagatan 72 A,3,4250000.0,50.0,2.0,2702.0,85000.0,59.3139757,18.0718874
6,Johan skyttes väg 198,-1,1995000.0,52.0,2.0,2437.0,38365.0,59.278458,18.0069734
7,Sjöviksvägen 114,3,2495000.0,35.0,1.0,2358.0,71286.0,59.1856855,17.6534598
8,Nybrogatan 72,4,3995000.0,35.0,1.0,973.0,114143.0,59.3417562,18.0830697
9,Fältmarskalksvägen 30B,-1,2395000.0,43.0,2.0,3096.0,55698.0,59.3376726,17.9633005
10,Robert Almströmsgatan 4,-1,5275000.0,59.0,2.0,2898.0,89407.0,59.3386879,18.0335116
11,Igeldammsgatan 38,-1,3150000.0,40.0,2.0,2167.0,78750.0,59.3384458,18.0226035
12,Cronströmsvägen 12,-1,1850000.0,34.0,1.0,1216.0,54412.0,59.359318,17.9535972
13,"Brf Snödroppsgränd, lgh 4:1106",-1,1950000.0,41.0,2.0,2389.0,47561.0,0.0,0.0
14,Bränningevägen 26B,-1,4295000.0,78.0,3.0,3988.0,55064.0,59.2992177,18.0472308
15,"Slätbaksvägen 44, 3/3tr",-1,2495000.0,53.0,2.0,3115.0,47075.0,0.0,0.0
16,"Vittangigatan 10, Vån 6.5",-1,1695000.0,34.0,1.0,2175.0,49853.0,0.0,0.0
17,"Multrågatan 23, Vån 6",-1,2195000.0,73.0,3.0,4191.0,30068.0,0.0,0.0
18,"Maltesholmsvägen 95, EP",-1,1695000.0,58.0,2.0,3430.0,29224.0,0.0,0.0
19,Blomsterkungsvägen 116C,-1,1295000.0,26.4,1.0,1482.0,49053.0,59.3897367,17.823424
20,"Kungsklippan 12, 6TR",-1,3250000.0,36.0,2.0,2906.0,90278.0,0.0,0.0
21,Klubbacken 18,2,2495000.0,59.0,2.5,3485.0,42288.0,59.30511955,17.963643042734855
22,Rådmansgatan 70B,-1,5450000.0,65.0,2.0,3775.0,83846.0,59.343724,18.0708935
23,Malmgårdsvägen 20,5,4295000.0,58.0,2.0,2991.0,74052.0,59.3093711,18.0896181
24,Bergsundsgatan 7,6,2995000.0,35.0,2.0,2673.0,85571.0,0.0,0.0
25,Västgötagränd 7,1,2650000.0,32.0,1.5,2214.0,82813.0,59.3139274,18.0694123
26,Klubbacken 24,-1,2695000.0,55.0,2.0,3713.0,49000.0,0.0,0.0
27,Pilgatan 26,-1,3750000.0,46.0,2.0,3033.0,81522.0,47.9056634,11.1751031
28,"Adolfsbergsvägen 12, vån 3/3",-1,1695000.0,20.0,1.0,1588.0,84750.0,0.0,0.0
29,"Bättringsvägen 4, Vån 2",-1,1975000.0,67.5,2.0,4209.0,29259.0,0.0,0.0
30,Ripstigen 4,-1,3450000.0,76.0,3.0,4104.0,45395.0,0.0,0.0
31,Götaforsvägen 23,-1,1850000.0,35.0,1.0,2150.0,52857.0,59.2702299,18.0569981
32,Roslagsgatan 25,-1,3595000.0,36.0,2.0,2212.0,99861.0,0.0,0.0
33,Södra Agnegatan 20,1,2495000.0,25.0,1.0,787.0,99800.0,59.3288601,18.0413585
34,Västra Vägen 3B,-1,3695000.0,98.5,4.0,4261.0,37513.0,63.7119817,22.7481376
35,Barrstigen 26,-1,1895000.0,26.0,1.0,932.0,72885.0,42.27363461720616,-71.84062626928532
36,Carl Thunbergs Väg 1,-1,3495000.0,81.0,4.0,4167.0,43148.0,59.3627075,18.0185087
37,Vadmalsvägen 2,-1,2450000.0,53.5,2.5,2893.0,45794.0,59.3401785,17.9450156
38,Dianavägen 22,2,3195000.0,45.0,2.0,3369.0,71000.0,59.3568036,18.1006616
39,Birger Jarlsgatan 104 B,2,2975000.0,31.0,2.0,2279.0,95968.0,0.0,0.0
40,Åsögatan 194,4,4750000.0,56.0,2.0,2801.0,84821.0,59.3144182,18.0918447
41,Hornsbergs Strand 15E,1,3695000.0,56.5,2.0,2825.0,65398.0,0.0,0.0
42,Fridensborgsvägen 155,-1,2895000.0,67.0,2.0,3638.0,43209.0,59.381939450000004,17.981094409790245
43,Kungsholms Strand 143,2,3595000.0,46.0,2.0,1965.0,78152.0,0.0,0.0
44,Furusundsgatan 11,7,3195000.0,34.0,2.0,2094.0,93971.0,59.3471983,18.0979373
45,"Ernst Ahlgrens väg 3, 2,5 tr",-1,2500000.0,34.0,1.5,1934.0,73529.0,0.0,0.0
46,Kratsbodavägen 50A,-1,2750000.0,49.0,2.0,3204.0,56122.0,59.3612495,17.9544246
47,Sankt Eriksgatan 8,5,4950000.0,70.0,2.5,3965.0,70714.0,57.709766,11.965996
48,Grev Turegatan 71,-1,2795000.0,20.0,1.0,938.0,139750.0,0.0,0.0
49,Rålambsvägen 29,5,3475000.0,51.0,2.0,2922.0,68137.0,59.3283522,18.0112138
50,Bergsunds strand 31,5,10500000.0,115.0,4.0,4466.0,91304.0,0.0,0.0
