address,floor,area,rent,price,date,kr_sqm,change,sqm,rooms
Fatburs Kvarngata 17,,"Södermalm,",4235.0,5250000.0,2020-03-16,73944.0,12.0,71.0,3.0
Södra Agnegatan 20,2.0,"Kungsholmen - Kungsholmstorg,",1775.0,7625000.0,2020-03-16,105903.0,6.0,72.0,3.0
Frödingsvägen 6,,"Kungsholmen,",1977.0,3850000.0,2020-03-16,80208.0,4.0,48.0,2.0
Robert Almströmsgatan 5,5.0,"Vasastan,",2957.0,6070000.0,2020-03-16,86714.0,10.0,70.0,2.0
Krångedevägen 17,,"Hjorthagen,",2661.0,2850000.0,2020-03-16,71250.0,2.0,40.0,2.0
Folkskolegatan 20,3.0,"Högalid,",2265.0,2625000.0,2020-03-15,100962.0,16.0,26.0,1.0
Fagningsgatan 5,5.0,"Norra Djurgårdsstaden,",4687.0,6500000.0,2020-03-15,82278.0,2.0,79.0,3.0
Lars Forssells gata 22,6.0,"Kungsholmen - Hornsbergs Strand,",4216.0,9810000.0,2020-03-15,85304.0,9.0,115.0,5.0
Vintertullstorget 28,5.0,"Katarina/Sofia,",4918.0,7800000.0,2020-03-14,92857.0,24.0,84.0,3.0
Sankt Paulsgatan 28 C,2.0,"Södermalm,",1839.0,3130000.0,2020-03-14,97813.0,32.0,32.0,1.0
Gjutargatan 6,,"Kungsholmen,",3047.0,3975000.0,2020-03-14,72273.0,,55.0,3.0
Skeppargatan 6,,"Östermalm,",1798.0,6000000.0,2020-03-14,125000.0,20.0,48.0,2.0
Ingemarsgatan 7,3.0,"Vasastan/Sibirien,",2110.0,3720000.0,2020-03-14,106286.0,24.0,35.0,1.0
Hornsgatan 70,,"Maria,",3218.0,5900000.0,2020-03-13,107273.0,8.0,55.0,2.0
Madängsgatan 22,,"Norra Djurgårdsstaden,",4573.0,6900000.0,2020-03-13,94521.0,,73.0,3.0
Karlsviksgatan 18,,"Kungsholmen,",1572.0,5800000.0,2020-03-13,96667.0,6.0,60.0,2.0
